Timestamp,What is your major?,What kind of job title would you like to have when you graduate?,How relevant is statistical thinking to your long term career goals?,How would you rate your proficiency in mathematics?,How excited are you about learning statistics?,How would you rate your proficiency in computing?,Are there any specific skills or topics we might cover that are most important to you?,What would you like to take away from this course in general?,"Are there any subject areas, topics, data sets, etc, that you find interesting and would like to see more of in the examples in class?",What do you think will be the most valuable part of the class for your own learning?,Do you have any suggestions for how to improve the class that you feel strongly about?,"Do you have a hobby or interest you'd like to share? (e.g. cooking, politics)","In a typical week, how many hours do you spend studying outside of class?","In a typical week, how many hours do you spend on social media, texting, or entertainment?","In a typical week, how many hours do you spend working, volunteering, or on constructive hobbies?",What is your age?,What is your gender?,"According to Google Maps, how long does it take to travel from NYU to your home town? (Use home address if you are from New York)"
1/24/2018 10:27:18,Statistics,Data Supervillain,5,6 - Advanced in all of the above,4,5,,Keeping my job,,Lectures,,Powerlifting,10,21,54,32,Man,2:07
1/24/2018 11:57:39,Finance ,Analyst,5,2 - Proficient with pre-calc,1,1,Don't know ,Skills that will make me hireable,No,Lectures,Don't know ,Long showers,3,15,20,18,Male,3 hours by plane
1/24/2018 11:58:00,Finance,,5,6 - Advanced in all of the above,5,5,Regression,,,Homework,,,6,15,5,18,Male ,11:01
1/24/2018 11:58:45,Undecided,,3,4 - Proficient in calculus,3,2,Not sure,An understanding of the general concepts of statistics,I liked learning about the observational experiments,Lectures,No,Basketball,14,25,30,20,Female,2:00
1/24/2018 11:59:03,Finance ,Law Student ,1,6 - Advanced in all of the above,1,1,Nope ,How to better grasp experiments ,Econometrics ,Lectures,More interaction. More group work and less lecture ,Sci fi films ,20,6,10,19,Male ,1:09
1/24/2018 12:02:29,Undecided (Gallatin Student),,4,6 - Advanced in all of the above,5,3,,,,Lectures,,,3,10,7,19,female ,4:00
1/24/2018 12:02:32,Global Business,Entrepreneur,4,"3 - Proficient with pre-calc, familiar with calculus",5,2,Computing,an A,Probability,Homework,,Dance,8,15,10,18,Female,17:15
1/24/2018 12:08:04,Quantitative economics,,4,4 - Proficient in calculus,3,3,I am interested in the bell curve. ,I would like to able to apply statistics to other areas of study. ,Hypothesis testing,Lectures,N/A,Politics,10,15,10,18,Female,1:02
1/24/2018 12:09:03,Business; Concentration: computing and data science,Business Analyst of some sort,5,"3 - Proficient with pre-calc, familiar with calculus",4,5,Data Visualization,Key business analysis how-to's,"Retail, Social Media Analytics","Study guides to familiarize myself with exam formats in the form of ""homework"" or ""studying for exams""",Clear breakdowns of assessment formats and structures as well as material,Hockey (Go Blues!),10,10,8,20,Female,14:24
1/24/2018 12:18:34,Finance,,2,5 - Proficient in calculus and familiar with linear algebra,4,4,,,,Lectures,,,20,20,20,18,Male,20
